"year","BRA","USA","ratio"
1928,0.0444715403500018,0.0563059010336665,0.78982024145944
1929,0.0447657373704936,0.0556271248171212,0.80474656056132
1930,0.047310811459588,0.0603795022307709,0.783557494044349
1931,0.0462797615408244,0.0596958900052042,0.775258757961223
1932,0.045742193427635,0.0665681205401391,0.687148638965305
1933,0.0463699563750006,0.0663413730006906,0.698959853823313
1934,0.0468168599239151,0.0677295389929628,0.691232520108832
1935,0.0468936713954781,0.0694588875570706,0.675128454324123
1936,0.0468112797077697,0.0690674572323438,0.677761735896777
1937,0.0461475260096592,0.0696533208475321,0.662531598610696
1938,0.0455551355461962,0.0685525042132879,0.664529123611008
1939,0.0450783717780111,0.0672093610579546,0.670715672168643
1940,0.0449705782502939,0.067798064000765,0.663301805340437
1941,0.0433157960995303,0.070447002515535,0.61487067657674
1942,0.0446482580590943,0.0714469721897342,0.624914628159842
1943,0.0484003611589765,0.0720719965043133,0.671555715208748
1944,0.047382680386369,0.0685723304082883,0.690988334569447
1945,0.0473954537351125,0.0693714374429003,0.683212795959774
1946,0.0485392570973513,0.0703940961048163,0.68953590973136
1947,0.0483346613903269,0.0694003249873046,0.696461600131826
1948,0.0475738547810452,0.068474847404929,0.694763940103657
1949,0.044642941826644,0.0690011622668423,0.646988258748457
1950,0.0439680743929274,0.0696938161235294,0.630874829913114
1951,0.0437011366682012,0.0691316542592944,0.632143655991363
1952,0.0435116392686559,0.0689664618761964,0.63091012769025
1953,0.043472690506982,0.0672597431705395,0.646340417874558
1954,0.0429941631104302,0.0675556826836613,0.636425558923832
1955,0.0428510594608622,0.067972717880338,0.630415566673367
1956,0.0431363433754187,0.0678027212158656,0.636203718698608
1957,0.0429490403426325,0.0676419320517349,0.634946978004465
1958,0.0421956102370326,0.0679403879743496,0.62106813774692
1959,0.041497042581904,0.0682323248449012,0.60817277846286
1960,0.0370656226067964,0.0638015461970233,0.580951792176562
1961,0.0355522856616501,0.0622707701844842,0.57093055949561
1962,0.0355298785694897,0.0525897931896696,0.675604074755497
1963,0.0368892916717997,0.0519965286700814,0.709456815970595
1964,0.0367798026391506,0.051067535249163,0.720218872120981
1965,0.0370381955101916,0.0491689845876415,0.753283717791094
1966,0.0360458591112653,0.0484579468014997,0.743858572029919
1967,0.0360089199562405,0.0481229484372589,0.748269196414424
1968,0.0366086783846089,0.0443367753198995,0.825695556802886
1969,0.0362122139888594,0.0435209158566487,0.832064612521871
1970,0.0360411357477034,0.0432307781298093,0.833691580555928
1971,0.0365664643759538,0.0395944162454268,0.923525785789993
1972,0.032489138680969,0.038211124132989,0.850253412275825
1973,0.0304445390201156,0.0374123636777936,0.81375609630851
1974,0.0296953003582018,0.0373448651900486,0.795164213529276
1975,0.0293548881795646,0.0363555229700353,0.807439579503762
1976,0.0288599433181304,0.0295738358042781,0.975860673235886
1977,0.0285979095274819,0.0287078659383074,0.996169815929131
1978,0.0281551332050995,0.0288402719986333,0.976243677813918
1979,0.0281250355151933,0.0264578240903855,1.06301392809599
1980,0.0278917545465923,0.0251875652824841,1.10736207464994
1981,0.0350795965968438,0.0246274296009444,1.42441160792105
1982,0.0359623889455873,0.0261466902637694,1.37540884076709
1983,0.0390814662832703,0.0263380380542331,1.48384121105745
1984,0.0389981672844625,0.0259456618194451,1.50307082377969
1985,0.0389512627580783,0.0251220220504365,1.5504827867708
1986,0.0383567637545654,0.0247188741750685,1.55171968929119
1987,0.0385800549997318,0.0244610021739067,1.57720663795559
1988,0.0392095611267102,0.0228373591228143,1.71690434589437
1989,0.0389600337798409,0.0217705268865255,1.78957698097581
1990,0.0420384619477215,0.0217236741981704,1.93514511238904
1991,0.0418299440537611,0.0225136373206539,1.85798249558664
1992,0.0422661896039661,0.0221292454009941,1.90996976345463
1993,0.0414756579072777,0.0221732909189592,1.87052332731602
1994,0.0415845206470765,0.0218999829531363,1.89883803727442
1995,0.0412345878917875,0.0214158015072181,1.92542818805495
1996,0.0412408760894438,0.0208081656127965,1.98195635582993
1997,0.0411425305130483,0.0208262194475207,1.97551603721079
1998,0.0408095594316693,0.0206651458505252,1.9748014229782
1999,0.0405404997368489,0.020795082950974,1.94952334801579
2000,0.0398429006575627,0.0200134698316147,1.99080424298159
2001,0.0387297412992671,0.020447807942511,1.89407790840738
2002,0.0371565510064773,0.0201484549553207,1.84413897189001
2003,0.034237993907427,0.019678201355728,1.73989447960705
2004,0.0346633100690414,0.018617923295891,1.86182473298145
2005,0.0346851377862634,0.0178039524594423,1.94817065846905
2006,0.0333199808974977,0.0172156186476683,1.93545068460323
2007,0.0340792512181111,0.0172268093506405,1.97826832145466
2008,0.0343992789309635,0.0175283566230362,1.96249310022338
2009,0.0344139165892508,0.0198026979569849,1.73783979657742
2010,0.0351447890998332,0.0191277481618496,1.83737201067556
2011,0.030656610597034,0.0191914429962902,1.59741039811129
2012,0.0304500997032579,0.0172054502132099,1.76979383427462
2013,0.0275726095862165,0.0168264722627073,1.63864469959791
2014,0.0278869576468944,0.0148160054457311,1.88221837181691
2015,0.0297465974379772,0.0147731312422178,2.01356076448905
2016,0.0308470818222905,0.0147576770969362,2.09023965083872
2017,0.0308408732878485,0.0146577854761833,2.10406089910104
2018,0.0301030436616692,0.0144524006622145,2.0829095708904
2019,0.0302120744147295,0.0143876107683332,2.09986737208832
2020,0.0287419690812396,0.0172263773340332,1.66848598076716
2021,0.0293258605500126,0.018835159188397,1.5569743932973
2022,0.0289099263566112,0.0187642526178476,1.54069159829545
