"year","gdp","cons","pop","tby","gdp_pc","cons_pc","dy"
1979,1639212057905.15,915960194680,118380821,-2.08532250947253,13846.9394286863,7737.40363466477,0.0654090182890954
1980,1790019567232.42,1167893446907.39,121207461,-2.23061774543479,14768.2292200842,9635.49139031458,0.0880108773227093
1981,1713943735625.05,1074871376460.23,124063109,-0.387243250772394,13815.0957963261,8663.90811196123,-0.0434295579273289
1982,1728169468630.73,1101559498435.47,126923155,-0.690201321086754,13615.8722861146,8678.94828516885,0.00826574441702732
1983,1677534103199.85,1079733945211.87,129790077,2.58715860865495,12924.9796438587,8319.07931768829,-0.0297378182639569
1984,1768120944772.64,1108150467709.46,132658864,6.24075040520321,13328.328703106,8353.38426921446,0.052592450119171
1985,1906918438937.3,1138429284755.99,135515595,5.44739160821144,14071.5792816118,8400.72528003873,0.0755711868470783
1986,2049746630013.7,1272318635473.39,138336370,2.57390399475612,14817.1202556038,9197.28221488962,0.0722276339968779
1987,2122102686053.18,1210075115462.11,141104944,3.39456671559616,15039.1802434164,8575.71025620555,0.0346912397899288
1988,2120829424441.55,1130669746869.24,143826357,5.56747238560841,14745.763354359,7861.35288728227,-0.000600180072030554
1989,2187847634253.91,1115698427528.93,146502972,3.46834169656466,14933.8105868181,7615.53443113038,0.0311109950250561
1990,2092676262163.86,1170427089091.69,149143223,1.23887388797918,14031.3198284837,7847.67195953443,-0.0444744901018339
1991,2114276648600,1227672965800,151724256,0.763195435092725,13934.9943399953,8091.47461431612,0.0102689888435741
1992,2102773460300,1220970477400,154275079,2.48324853329106,13630.0267932451,7914.24308653247,-0.0054555751219425
1993,2206328534700,1248079604000,156794577,1.40722276336528,14071.4594657186,7959.96665114253,0.0480726687712263
1994,2335462083600,1304913644400,159265006,0.351393057937806,14664.0002236273,8193.34816337495,0.0568799284871844
1995,2434107182400,1455518947200,161735073,-1.92670992225409,15049.964965855,8999.40204806412,0.0413702630752191
1996,2487873300900,1502627994100,164202549,-2.17517210961447,15151.2465308928,9151.06375175698,0.0218482204117691
1997,2572332767800,1548202308700,166661659,-2.6089101107068,15434.4603505957,9289.49296430561,0.0333849294503636
1998,2581029770900,1537055040600,169159655,-2.37758425376977,15257.9512585315,9086.41626515495,0.00337527635263157
1999,2593107378800,1542869067700,171641543,-1.85236995626965,15107.6909090709,8988.90234108417,0.00466846142111876
2000,2706891619700,1605087305700,174018282,-2.26366534803512,15555.2140188351,9223.67056640635,0.042944056049766
2001,2744514608900,1617467449500,176301203,-2.19286368220403,15567.1916141151,9174.45497805253,0.0138032591882862
2002,2828317315700,1638799371400,178503484,0.842823140524155,15844.6056755957,9180.76966721837,0.0300777147588143
2003,2860583579800,1629851645200,180622688,2.22118269421297,15837.343644227,9023.51561283375,0.0113437061720632
2004,3025352182400,1693798778200,182675143,3.41327054511701,16561.3784815814,9272.19078843146,0.0560018557422097
2005,3122227954600,1768696489300,184688101,3.40086332879323,16905.409377727,9576.66725535285,0.0315193263547293
2006,3245930273700,1862166780900,186653106,2.70693271597013,17390.1755146791,9976.61823479112,0.0388551531830892
2007,3442954041300,1980903574400,188552320,1.36273883261835,18259.9399535365,10505.8562758602,0.0589278476434067
2008,3618344849300,2108954434500,190367302,-0.189568391678627,19007.1761866962,11078.3438770383,0.0496868615074888
2009,3613792537200,2202937806700,192079951,-0.403233336535072,18814.0017653378,11468.8586457417,-0.00125891211904516
2010,3.885847e+12,2340167000400,193701929,-1.04100856266554,20060.9618090071,12081.2787589741,0.0725831928655367
2011,4.040287e+12,2452926999300,195284734,-0.769379818781117,20689.2106579104,12560.771899866,0.0389747509786744
2012,4117908023600,2538765970200,196876111,-1.35919546987673,20916.2401811157,12895.2464435871,0.0190295440910688
2013,4241643857400,2626887645900,198478299,-2.3014960354295,21370.8192722873,13235.1378419461,0.0296056231788668
2014,4263019865100,2686001005200,200085127,-2.66152017502132,21306.0307331089,13424.2911778245,0.00502690133585659
2015,4111863267300,2599605978100,201675532,-1.15324310058813,20388.5083456728,12890.041505382,-0.0361015221753789
2016,3977162043300,2499853915600,203218114,0.39967600829311,19570.9032281443,12301.3341005615,-0.0333077649793694
2017,4029774689200,2549300076000,204703445,0.718201365447856,19685.9153454892,12453.6256632125,0.0131419555036913
2018,4101652440900,2609614025900,206107261,0.393795614628458,19900.5722602854,12661.4366385666,0.0176794608710189
2019,4151724504300,2677342427200,207455459,-0.644419487260711,20012.606678622,12905.6253332914,0.012133864253677
2020,4015682506400,2555143370400,208660842,0.60502547502016,19245.0220554559,12245.437840225,-0.0333164690403294
2021,4206933577300,2630714930100,209550294,0.562529977933522,20076.0089475226,12554.098015725,0.0465266937765989
2022,4333843905000,2739769134300,210306415,0.445464030534397,20607.2834487716,13027.510997703,0.0297208702139393
2023,4474332186900,2828531120200,211140729,2.27241877640431,21191.2320663627,13396.4258511204,0.0319022225294994
2024,4627323705900,2972847525100,211998573,0.292634941087382,21827.1455341353,14022.9600748303,0.0336215590765931
2025,4733092595100,3011851957800,212812405,0.34996353083392,22240.6799786883,14152.6146363507,0.0226001467659813
