"region","year","interest","tb","debt"
"Emerging Market and Developing Economies",2023,4.37910722195728,1.14124215349094,27.0282862318746
"Emerging Market and Developing Economies",2024,4.61006829533507,1.34572195634007,26.8074337796498
"Emerging and Developing Asia",1997,4.27008471416836,0.386226938208356,28.9302746450793
"Emerging and Developing Asia",1998,4.75107468881531,2.96205754926644,33.6730873970724
"Emerging and Developing Asia",1999,4.52943872223099,2.40635662151899,30.5411067184607
"Emerging and Developing Asia",2000,4.92089736728088,2.08158987768528,26.8321350325811
"Emerging and Developing Asia",2001,4.52466713739651,1.73623192158373,27.1590123848378
"Emerging and Developing Asia",2002,4.10520468843752,2.03115650043128,24.8403474688387
"Emerging and Developing Asia",2003,3.89001060589733,1.96651761602632,22.8093404492994
"Emerging and Developing Asia",2004,3.66269154132125,1.79829245832042,21.3595726463328
"Emerging and Developing Asia",2005,4.09716656394416,2.81095685729602,19.7980936019406
"Emerging and Developing Asia",2006,4.15771062502634,4.51914011071117,18.2934541716131
"Emerging and Developing Asia",2007,4.36470670157127,4.89142174278458,17.0416957121142
"Emerging and Developing Asia",2008,4.26552866025425,4.08314337758623,15.3436721441012
"Emerging and Developing Asia",2009,3.73218118525555,2.38774484740779,16.2835840293077
"Emerging and Developing Asia",2010,3.33022168457904,1.9259911931871,17.4365507221845
"Emerging and Developing Asia",2011,3.43746259501739,0.7513034344598,18.187575971911
"Emerging and Developing Asia",2012,3.72818378541843,0.745674095796903,18.6165643570182
"Emerging and Developing Asia",2013,3.7047871538449,1.08326115737703,20.2715122817867
"Emerging and Developing Asia",2014,4.03838953648004,1.15137508017335,20.840128235739
"Emerging and Developing Asia",2015,4.65105884222655,2.02929026689749,17.6201148718318
"Emerging and Developing Asia",2016,4.11450205965387,1.50211016247256,17.4264938629785
"Emerging and Developing Asia",2017,3.91877028270064,0.93722811434863,18.6372969035055
"Emerging and Developing Asia",2018,4.34342369465604,-0.103956322412203,18.3920323233068
"Emerging and Developing Asia",2019,4.36544733271238,0.373212026153853,18.5438808354222
"Emerging and Developing Asia",2020,4.10375403606291,1.77810921084306,20.3221793957282
"Emerging and Developing Asia",2021,4.13006000185129,1.38167673303911,19.0158876813324
"Emerging and Developing Asia",2022,4.92809647765829,1.64867770507337,17.4378479671713
"Emerging and Developing Asia",2023,5.19438780279166,1.2029977386148,17.488414850668
"Emerging and Developing Asia",2024,5.24225264000909,1.66771896220389,17.2014854102063
"Emerging and Developing Europe",1994,3.49943837066092,0.621721992606322,38.9628866588705
"Emerging and Developing Europe",1995,4.46903419454346,0.663531359166414,36.8439109679564
"Emerging and Developing Europe",1996,4.03638826239698,0.508898548347412,33.9094152382515
"Emerging and Developing Europe",1997,4.1215514886643,-0.724454180006259,35.2502226608574
"Emerging and Developing Europe",1998,5.91867598514804,-0.617380567294483,43.2668562285873
"Emerging and Developing Europe",1999,5.29095608247019,0.985839028672034,51.8268211130899
"Emerging and Developing Europe",2000,5.4792716335562,2.41500364927822,47.4738127340483
"Emerging and Developing Europe",2001,5.08531207929292,2.8300798324362,45.488069510577
"Emerging and Developing Europe",2002,4.1506148081693,1.75402644619672,44.5910409243422
"Emerging and Developing Europe",2003,3.58656190734218,1.56975521909696,43.92252373038
"Emerging and Developing Europe",2004,3.64644147111606,2.06614949394586,40.5996162092268
"Emerging and Developing Europe",2005,3.63915245865962,2.8303180906665,37.8640101214255
"Emerging and Developing Europe",2006,3.77012346347426,2.07955159217153,39.6595978732506
"Emerging and Developing Europe",2007,3.40495430177077,-0.0788839843349774,42.7050140471949
"Emerging and Developing Europe",2008,4.08145613638407,0.384204158760628,38.2439283579446
"Emerging and Developing Europe",2009,3.2996013172275,1.65487842728731,51.3088733231841
"Emerging and Developing Europe",2010,2.9238448642385,0.95651439523961,46.8923087493684
