Country Name,Country Code,Counterpart-Area Name,Counterpart-Area Code,Series Name,Series Code,1970 [YR1970],1971 [YR1971],1972 [YR1972],1973 [YR1973],1974 [YR1974],1975 [YR1975],1976 [YR1976],1977 [YR1977],1978 [YR1978],1979 [YR1979],1980 [YR1980],1981 [YR1981],1982 [YR1982],1983 [YR1983],1984 [YR1984],1985 [YR1985],1986 [YR1986],1987 [YR1987],1988 [YR1988],1989 [YR1989],1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Iraq,IRQ,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19135602755,23353445730.2,28081416224.6,27797448159.7,27486478709.1,26328297576.5,25360186233.3,22722727263.8,20318433379.4,17517006333,..
Iraq,IRQ,World,WLD,Average interest on new external debt commitments (%),DT.INR.DPPG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,1.0269,4.1451,3.1627,2.8802,0.8428,0.0762,0.8035,0.0104,0,0,..
Jamaica,JAM,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,981947821.4,1017279724.6,1050172114.5,1218593242,1451065680,1631097348.4,1468081463.3,1698452346.3,1443098518.8,1725519727,1933418149.2,2335978753.2,2881171635.6,3493302522.8,3636693776,4149647658.3,4267673178.1,4771043102.6,4632792353.6,4660246898.8,4784682213.8,4612479880.4,4631509929.9,4418444373.2,4644306788.5,4615813407.2,4095187169.9,3818566634.2,3945356370.6,4027853275.2,4821219734.6,5477990485.7,5601373724.4,5720223401.2,6516794517.1,6590656418.3,8084297793.3,10523969850.5,10431004395.1,11116937810.7,14186599700.2,14287642491.2,14247212086.3,12889484163.8,14077596820.6,14055964975.2,14006048394.7,14584440916.3,17530384500.9,14464674889.2,14489345389,16036439681,15812061001.6,15395210849.4,14836981078.4,..
Jamaica,JAM,World,WLD,Average interest on new external debt commitments (%),DT.INR.DPPG,5.4058,6.374,7.3995,5.6009,5.6632,6.1091,7.1732,3.9505,6.543,7.2702,7.2041,8.8404,7.8671,8.1283,7.461,7.6271,6.5954,6.0474,6.2077,7.1366,7.6274,6.2429,7.24,6.3891,3.7726,5.8355,4.5043,6.581,7.7869,6.1586,9.1735,9.7542,6.9657,6.301,9.4047,7.5723,5.551,7.2065,5.8479,3.4785,1.382,5.4806,0.275,2.2444,5.1967,6.339,6.8669,5.707,3.4114,7.8009,1.8533,1.1245,1.32,9.3582,6.275,..
Jordan,JOR,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,119092816.3,153348201.6,180464881.2,214800116.9,270701661.2,342812687.7,432465516.3,796335241.4,1111301690.7,1417948646.1,1866844711.7,2186348488.8,2648430694.4,3021355709.1,3281112514.1,3943825661.2,4831646193.6,6261594432,5918242632.1,7316087055.4,8332902493.5,9700258842.1,7966941070.5,7630572048.1,7552887476.4,7660567356.1,7379761663.3,7313830926.3,7560990588.3,8106195546.9,11062638714.5,11885718015.6,13015834374.6,12492626260.3,12895197668.9,12766664121.9,13856775214.9,14862495842.8,13818923250.1,14269772267.4,16894215040.7,17477930466.6,18297915662.4,23003169930.4,24125234088.8,25598481274.6,27110465347.6,30051818034.6,31925591353.8,33493554481.7,38038131759.6,41757187873.1,41170195546.7,44559287366,46966040104.7,..
Jordan,JOR,World,WLD,Average interest on new external debt commitments (%),DT.INR.DPPG,3.721,0.3764,2.7181,2.5149,3.2916,5.0279,4.2065,6.6113,7.4052,6.9289,7.2533,6.8806,7.1646,8.5818,8.8775,8.3716,8.5453,7.2317,7.9052,5.9098,4.5481,2.1176,4.0415,6.1262,4.8805,4.6768,5.0178,4.5406,3.9228,4.9743,4.7934,2.1561,2.326,2.2879,4.193,2.9386,3.4323,4.9165,3.4004,2.1229,3.2642,1.8899,2.2162,3.175,2.0711,3.0102,3.4469,4.7118,3.0531,3.4137,3.0926,1.6867,4.338,6.3112,5.3724,..
Kazakhstan,KAZ,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,34977844.5,1727754137.6,2789562086.4,3750246013.7,2922220065,4077953308.9,6074807301.8,6600356817.2,12890152382.6,15339983924.1,18437239277.2,23226790596.7,33233124794,43861793757.3,74438311787.2,96240591774.7,106738597246.1,109741327702.3,119150770510.9,124330240756,135821411914.4,151870706097.5,160226745867.8,156146738966.4,166979215648.4,163065769204.6,161167886073.7,170696302166.4,172889421872.9,173390460628.2,169570449960.3,171483605932.5,167535209792.2,..
Kazakhstan,KAZ,World,WLD,Average interest on new external debt commitments (%),DT.INR.DPPG,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8.6176,6.295,5.6553,5.5492,7.1343,6.5286,5.2719,9.0569,8.345,3.7911,4.8686,1.8056,1.7699,5.0473,6.19,0,2.9843,1.4087,1.0347,0.8203,3.8991,4.7833,3.9235,4.7119,2.592,2.0126,2.0797,1.7436,1.6193,3.7406,0.4799,0,2.5339,..
Kenya,KEN,World,WLD,"External debt stocks, total (DOD, current US$)",DT.DOD.DECT.CD,477537524.6,497894895.5,581161178.6,844716764.7,1152688059,1290219777.3,1493325017.4,1658887244,2173728428.2,2720995167.7,3386803513.5,3228165912.1,3367814483.6,3628284465.8,3511509910.2,4181365915.7,4603589573.6,5783681917.2,5809644178.8,5889233567.6,7055158928.9,7453499318.4,6898195691.8,7111518961.1,7124419830.7,7309198401,6813721635.2,6465020215.1,6823161838.5,6524904617.7,6147150097.6,5495276586,6095869527.9,6715084650.7,6916593410.5,6501013208.9,6719657604,7576695048.2,7691776548.9,8585721249,8885235532.9,10042095566.4,11832175543.2,13775500738.7,16911742536.7,19783760501.7,21057671043.3,26951349499.4,31433802015.7,34970099589.9,38038451074.1,41219100011.5,41556299639.8,42910026054.2,42886127218.3,..
Kenya,KEN,World,WLD,Average interest on new external debt commitments (%),DT.INR.DPPG,2.4596,5.2804,4.114,4.4496,2.7076,6.9008,6.8135,5.7924,5.2126,7.581,3.4956,8.8766,5.4946,5.7094,6.2957,6.749,4.8912,4.6528,4.0619,3.3673,4.2789,4.4008,0.8932,2.2574,0.6882,2.9362,1.2125,1.8218,3.2683,3.3523,1.3492,3.3162,3.37,1.8612,0.7926,1.4661,1.7354,0.7143,1.2676,1.33,0.9864,1.4519,1.7268,1.3814,4.5001,2.8664,2.6783,3.8403,5.8477,4.1393,1.3981,3.395,2.0218,4.2116,5.2766,..
